[ 2013-11-22T16:31:03+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003538s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003056s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.003484s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000406s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.002999s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000271s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003338s ]
[ 2013-11-22T16:31:03+08:00 ] / | SQL: SELECT * FROM `cms_index_data` WHERE status=1 and catid in(1,2,3,4) ORDER BY sort desc,id desc  [ RunTime:0.000445s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001065s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001170s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T16:31:03+08:00 ] / | NOTIC: [8] Undefined variable: page_title e57cb8c2ce497fd0803b10241f4fc8f8.php 第 6 行.
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015275s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015384s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000667s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000782s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000498s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000770s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003018s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000670s ]
[ 2013-11-22T16:31:03+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000771s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001051s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001210s ]
[ 2013-11-22T16:31:07+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:31:07+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003502s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003008s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.003335s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000393s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.003026s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000271s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003467s ]
[ 2013-11-22T16:31:07+08:00 ] / | SQL: SELECT * FROM `cms_index_data` WHERE status=1 and catid in(1,2,3,4) ORDER BY sort desc,id desc  [ RunTime:0.000451s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001130s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001235s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T16:31:07+08:00 ] / | NOTIC: [8] Undefined variable: page_title e57cb8c2ce497fd0803b10241f4fc8f8.php 第 6 行.
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015526s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015638s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
