[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 110 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 42 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_role` [ RunTime:0.003104s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 46 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `cms_role` WHERE id= LIMIT 1   [ RunTime:0.000169s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_group` [ RunTime:0.003076s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `cms_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000381s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 56 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_access` [ RunTime:0.003059s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 62 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: select b.group_id from `cms_access` a,`cms_node` b where a.node_id=b.id and a.role_id=0 and b.id !=177 and b.id !=178 group by b.group_id [ RunTime:0.000457s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.003217s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000288s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 92 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003199s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.000791s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.000903s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.011085s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011212s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000781s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000941s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000628s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000964s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003619s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000810s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000916s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106827 | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106827 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106827 | INFO: Run CheckLang Behavior [ RunTime:0.001549s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106827 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002596s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
